,tweets
0,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
1,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
2,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
3,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
4,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
5,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
6,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
7,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
8,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
9,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
10,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
11,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
12,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
13,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
14,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
15,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
16,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
17,RT @CGTNOfficial: Live: #Gaza sky after #Israel and #Hamas announced #cease-fire https://t.co/gUKULgcKUr
